,_c0,_c1,_c2,_c3,_c4,_c5,_c6,_c7,_c8,_c9,_c10,_c11,_c12,_c13,_c14,_c15,_c16,_c17,_c18,_c19,_c20,_c21,_c22,_c23,_c24,_c25,_c26,_c27,_c28,_c29,_c30,_c31,_c32,_c33,_c34,_c35,_c36,_c37,_c38,_c39,_c40,_c41,_c42,_c43,_c44,_c45,_c46,_c47,_c48,_c49,_c50,_c51,_c52,_c53,_c54,_c55,_c56,_c57,_c58,_c59,_c60,_c61,_c62,_c63,Label
10,138.21,144.97,142.65,106.02,127.27,138.45,134.68,134.28,152.59,159.75,147.87,111.8,135.17,134.09,138.78,154.75,136.66,138.39,134.14,137.3,161.7,150.98,139.01,159.13,94.985,136.96,161.96,153.83,165.02,166.38,163.52,154.84,89.644,125.05,161.1,163.57,150.91,138.93,162.53,163.77,117.84,131.57,150.76,146.01,139.17,141.64,142.6,160.24,138.46,140.48,131.54,135.06,154.31,155.44,160.41,169.57,155.32,172.24,150.18,128.92,130.37,146.27,169.42,178.95,0
11,153.22,161.05,173.91,196.94,191.08,171.95,168.14,181.9,136.61,158.62,172.97,196.57,204.0,184.45,153.65,180.23,156.86,164.23,151.91,170.44,179.29,177.23,162.15,171.69,161.22,191.97,163.62,151.38,168.45,149.49,140.84,171.75,134.25,167.38,172.6,144.96,165.7,188.48,165.23,166.3,122.08,147.78,175.89,188.03,173.72,186.85,196.95,177.13,142.61,142.61,172.77,190.81,191.2,178.01,189.31,190.17,168.57,155.41,159.91,169.33,153.53,163.33,183.57,189.41,0
12,153.79,158.1,149.55,154.75,151.2,140.98,143.45,159.75,127.47,149.24,161.17,164.59,153.49,114.98,108.69,150.47,151.83,146.46,141.94,144.95,168.37,144.82,126.24,161.99,178.2,163.86,148.96,144.17,135.39,132.64,156.27,162.6,169.59,170.28,175.07,168.3,148.44,156.84,159.82,140.78,153.91,165.18,163.12,153.41,168.7,194.72,180.54,142.11,131.9,139.75,143.66,162.18,153.39,168.69,171.91,152.2,128.36,123.5,159.64,194.02,192.61,161.56,146.75,127.13,0
13,173.1,159.0,147.67,114.34,105.04,124.4,135.62,130.5,153.31,152.6,148.37,116.66,126.27,131.72,133.14,119.72,164.39,173.62,164.97,134.9,135.2,119.67,112.24,112.29,146.22,157.69,148.19,133.79,134.48,120.9,129.28,131.83,148.42,130.12,120.42,118.34,120.46,111.23,139.22,129.36,156.49,126.93,109.22,135.19,144.82,122.45,128.69,130.21,141.57,120.03,115.24,141.03,146.86,131.51,120.06,120.17,157.56,128.21,119.26,113.92,139.69,143.4,107.5,102.93,0
14,71.055,71.171,70.304,67.626,66.856,69.328,73.447,83.782,72.258,78.294,78.249,74.632,69.782,69.504,74.685,79.902,76.684,79.011,78.778,74.825,74.513,69.804,72.575,80.181,73.964,77.346,75.837,71.93,70.053,67.616,75.258,87.28,72.599,76.187,73.878,67.907,66.492,66.026,74.546,87.869,66.486,65.74,64.57,63.396,64.465,64.998,71.21,81.937,66.909,64.635,64.324,66.963,66.778,69.041,76.416,85.614,72.715,71.32,71.377,73.559,74.674,74.415,77.351,80.833,1
15,95.23,93.56,96.368,97.932,98.688,94.304,91.431,94.647,106.63,105.37,105.81,106.33,107.07,109.04,106.55,107.1,116.61,114.67,115.74,114.97,116.53,116.9,115.61,115.83,116.8,120.37,120.91,117.38,119.14,123.06,119.85,116.84,120.0,123.16,123.37,123.58,123.82,122.67,120.79,122.46,114.09,119.56,120.27,119.11,122.36,123.56,122.43,119.96,117.82,121.6,122.04,119.73,122.64,123.28,123.17,119.9,126.49,122.93,122.23,121.55,122.6,124.28,124.71,122.79,1
16,111.01,112.15,112.94,111.57,110.03,108.86,110.3,113.52,126.14,127.81,127.46,128.47,124.86,122.4,122.66,125.47,126.69,127.33,123.77,124.56,124.47,121.29,120.93,127.23,131.92,132.54,126.98,125.42,125.36,122.39,121.01,122.9,125.75,122.81,123.88,124.9,125.74,124.41,120.29,119.29,110.4,106.26,105.43,108.81,111.03,111.18,111.63,112.05,113.64,112.01,111.45,110.06,111.18,116.01,113.61,112.78,120.15,117.76,120.68,121.16,123.69,125.04,126.65,125.91,1
17,100.78,100.87,99.116,98.33,101.68,100.07,99.921,99.581,94.716,95.937,96.541,96.127,99.18,101.47,102.05,102.61,100.74,102.44,104.23,102.42,102.18,102.23,101.16,104.04,97.444,98.008,99.488,100.64,100.24,99.33,100.16,102.09,95.113,94.075,96.689,99.183,101.9,99.173,99.159,97.236,95.433,97.458,97.893,100.19,103.29,102.01,100.12,100.07,95.267,97.862,98.605,100.84,102.36,104.76,101.26,102.2,87.252,91.406,97.92,99.664,101.47,102.47,101.76,103.34,1
18,130.09,133.55,133.41,133.12,131.9,130.85,132.22,131.37,129.74,128.55,128.19,126.19,130.04,132.42,129.95,128.38,130.48,130.28,130.72,131.53,135.36,136.69,137.62,138.3,133.26,131.52,131.63,132.0,134.77,134.66,132.01,130.32,120.35,125.63,126.77,126.44,126.87,126.24,126.25,127.85,99.336,98.839,97.448,98.566,102.91,106.74,106.65,107.26,122.25,117.82,114.76,113.57,114.72,115.72,114.86,120.38,121.91,122.52,125.21,126.23,126.27,127.45,130.83,129.77,1
19,162.32,136.64,147.05,166.51,170.96,175.13,175.63,163.95,145.81,141.3,146.15,154.42,160.34,164.56,182.16,179.56,133.55,156.86,155.97,141.82,141.67,150.81,184.65,193.98,140.63,163.45,179.95,163.71,126.47,135.99,166.33,177.58,146.87,155.26,154.48,140.55,121.86,141.3,175.6,179.83,159.91,144.88,117.74,125.54,143.79,167.75,195.52,180.23,182.9,131.4,105.55,116.23,135.28,172.34,183.89,174.02,174.5,138.8,100.68,97.794,120.0,137.85,141.38,165.26,0
20,172.32,192.5,202.02,185.95,157.93,118.17,92.553,97.731,144.49,163.8,168.8,164.12,144.57,128.86,116.75,134.15,132.15,140.22,164.33,161.34,156.91,160.68,161.19,150.4,144.7,153.38,182.6,183.3,153.11,141.09,150.12,156.26,176.35,162.93,156.92,156.51,135.1,126.73,147.14,153.68,155.55,147.9,143.01,139.21,126.97,129.8,129.97,131.11,122.08,131.38,157.02,180.89,171.38,166.27,150.33,126.03,86.799,100.18,141.29,164.49,168.86,157.37,140.28,153.22,0
21,86.006,107.09,148.25,152.05,136.85,165.37,198.97,202.91,98.381,136.9,164.1,157.01,137.41,160.1,174.98,180.62,116.82,137.78,146.42,134.66,126.28,144.09,153.27,155.92,117.63,104.92,120.18,146.58,153.92,143.13,150.85,160.68,122.42,120.42,129.89,159.58,178.9,156.08,149.71,164.98,140.54,134.12,136.87,168.22,178.5,152.0,139.31,162.86,144.94,159.53,162.46,170.14,151.46,147.58,165.51,168.53,157.87,174.14,190.57,192.06,170.95,163.54,160.91,159.06,0
22,87.378,88.679,87.276,84.942,86.099,88.85,89.243,86.557,89.605,92.938,92.448,93.68,94.914,96.078,95.868,94.062,96.091,97.418,97.811,97.509,96.3,96.057,92.6,93.327,97.285,100.4,101.11,100.02,99.486,97.344,93.4,93.743,99.166,101.2,100.77,98.839,97.56,95.368,95.16,97.111,102.09,102.21,103.55,101.53,98.756,97.876,96.73,96.921,100.76,101.94,104.76,104.17,102.49,99.931,95.863,93.348,96.566,97.995,99.93,98.854,96.623,97.164,96.701,96.177,1
23,104.06,107.65,110.89,113.5,114.22,113.15,116.81,117.64,106.59,108.48,111.28,112.38,114.3,111.87,114.89,116.14,110.91,110.91,113.38,114.77,114.83,115.75,114.09,114.48,111.97,110.91,111.05,112.84,112.51,109.45,109.82,111.33,91.342,94.327,95.423,94.414,96.637,90.886,91.318,92.54,93.659,93.676,91.111,91.35,91.117,86.82,87.841,86.749,93.849,95.504,92.618,91.805,95.182,97.807,98.446,95.6,92.48,93.539,94.183,93.041,92.863,90.891,94.916,93.876,1
24,97.908,122.53,133.06,140.36,156.02,172.29,168.44,137.08,104.35,108.57,128.16,156.52,167.81,169.16,185.37,183.44,134.0,134.16,144.94,174.37,188.06,173.0,167.2,183.68,127.55,131.28,141.71,152.42,171.36,181.17,170.8,159.35,109.75,115.71,120.78,136.45,161.58,179.0,152.18,118.33,125.21,131.95,120.86,126.81,149.93,166.69,152.54,113.8,154.56,161.28,137.02,103.28,128.32,169.39,194.05,193.11,134.25,143.52,132.67,116.05,124.33,146.33,168.61,189.81,0
25,101.9,102.72,104.99,106.63,106.27,102.27,100.63,103.15,102.3,101.0,101.66,103.84,104.83,102.52,103.76,100.87,101.68,99.789,99.344,102.43,100.8,100.55,103.33,103.87,94.863,94.813,99.508,98.936,102.57,101.25,98.552,99.016,101.99,99.789,102.69,106.71,109.75,109.51,104.75,105.08,108.08,108.75,114.05,113.37,116.58,115.14,110.51,110.07,106.43,111.54,109.91,111.11,111.36,115.17,109.65,110.88,102.54,105.51,107.52,107.76,105.62,109.38,106.44,105.81,1
26,110.76,112.07,113.59,110.8,108.64,108.23,109.81,113.29,90.77,91.396,89.137,86.522,85.651,88.987,91.568,94.711,114.47,114.58,116.38,112.47,114.28,113.75,116.07,116.47,120.89,119.35,121.11,124.6,128.49,129.49,129.42,127.33,123.73,122.68,127.05,127.28,119.36,116.78,116.96,116.9,111.4,109.6,106.68,106.82,106.85,107.39,112.34,109.64,124.58,124.41,125.2,125.31,125.97,126.34,127.02,121.59,129.46,129.64,129.12,127.09,128.81,129.49,127.98,128.5,1
27,110.59,109.91,109.5,114.58,118.82,118.2,117.37,121.14,120.15,118.28,117.06,116.3,115.62,120.2,118.28,118.32,122.2,118.61,117.44,118.1,118.75,117.7,116.92,112.46,123.1,122.72,121.17,120.0,117.32,114.79,114.83,113.51,123.29,123.67,126.02,122.88,120.4,116.19,116.7,114.63,105.77,105.77,106.37,103.48,101.47,102.28,102.51,102.69,93.055,94.499,94.679,95.369,96.333,97.899,96.972,98.266,111.54,112.95,112.43,115.0,111.78,110.68,111.77,112.53,1
28,124.47,143.86,167.44,165.21,139.71,149.36,168.4,145.62,110.79,122.18,129.1,150.81,174.44,187.71,171.9,124.27,124.82,137.92,130.72,157.97,178.54,190.57,186.2,127.11,142.62,146.8,142.35,145.81,161.7,170.42,161.64,151.17,158.01,128.35,127.48,120.42,122.04,151.92,176.26,182.0,141.69,140.68,158.61,143.88,118.6,156.17,168.85,141.84,129.16,159.12,175.26,169.88,157.46,167.92,148.72,115.96,112.86,124.83,138.67,160.82,175.37,185.84,177.35,154.13,0
29,162.68,161.75,138.87,146.36,156.72,176.76,182.76,160.02,162.09,147.33,138.02,158.8,182.45,179.36,154.43,177.97,170.72,161.08,148.36,130.27,164.85,166.76,172.93,178.18,160.15,193.09,197.07,155.61,123.93,147.16,186.85,174.92,139.77,161.88,176.5,180.64,156.51,146.87,172.13,180.37,119.57,134.56,166.81,181.6,182.02,158.27,161.84,177.24,112.68,124.39,147.49,150.63,157.37,162.1,151.94,168.78,121.88,133.0,119.37,122.14,171.21,160.77,127.02,142.76,0
30,193.17,201.27,160.03,129.13,151.68,175.11,179.25,174.74,193.17,185.0,187.29,168.72,134.19,124.77,141.41,152.56,190.81,187.06,181.79,184.41,146.27,128.62,136.62,133.82,193.85,156.79,147.88,187.0,176.5,152.72,145.74,116.83,207.44,164.32,123.67,147.63,155.01,160.74,156.16,126.41,197.98,182.87,148.86,105.39,120.4,174.41,175.6,147.31,171.52,188.45,201.23,156.32,128.24,163.04,175.14,163.16,168.17,167.16,184.41,208.02,180.74,143.17,140.5,149.1,0
31,78.84,80.22,87.129,88.499,88.742,90.026,88.185,90.833,84.292,87.404,90.467,90.048,90.077,93.2,88.693,89.85,87.59,92.424,95.082,92.617,88.502,94.005,91.787,93.265,83.08,84.195,85.733,84.206,79.979,80.06,75.291,77.971,78.234,77.706,81.674,81.429,80.964,84.552,84.774,84.643,82.46,85.827,83.342,86.425,86.956,83.248,85.286,84.989,85.338,84.656,84.221,85.595,86.585,86.15,87.426,87.661,83.656,85.006,87.814,85.234,85.175,87.657,90.464,90.013,1
32,165.37,168.73,157.79,176.48,191.42,164.49,175.06,178.36,143.03,145.41,142.87,173.65,196.02,182.94,160.98,158.38,131.23,145.54,155.35,142.73,170.63,183.42,132.56,134.95,159.66,183.45,209.0,181.66,147.94,153.29,126.44,122.88,154.41,180.72,186.83,197.96,162.49,133.09,168.31,152.98,125.89,149.79,157.64,181.83,201.59,164.49,167.9,176.41,117.79,119.03,142.69,176.75,200.07,189.84,170.51,163.44,130.21,116.54,129.55,158.06,180.55,194.02,189.58,165.1,0
33,100.21,95.097,105.51,134.03,143.42,129.56,136.21,133.17,117.08,132.38,127.83,127.67,134.16,122.92,115.1,103.92,128.82,130.2,147.15,127.86,104.59,122.81,125.43,110.89,135.97,115.62,114.52,111.28,101.97,132.87,137.57,123.75,117.38,90.806,84.878,82.638,101.17,136.63,156.24,150.89,91.074,85.754,109.54,132.95,125.73,115.2,127.9,152.78,118.57,99.041,111.73,124.7,115.43,103.31,107.05,134.09,156.03,104.72,93.49,99.645,108.86,126.87,124.81,120.67,0
34,103.03,103.57,104.46,98.361,85.079,70.528,73.672,82.861,95.36,93.822,93.405,89.327,85.986,80.723,81.042,80.644,91.981,94.763,95.361,92.366,86.282,82.899,82.788,85.425,97.835,98.649,99.812,97.865,91.211,84.859,84.809,88.203,99.03,100.37,97.569,95.558,87.809,82.739,82.79,88.318,93.306,91.076,89.254,91.069,87.188,84.536,88.434,88.077,77.374,75.975,73.588,77.349,86.39,86.776,87.113,86.306,84.516,78.34,77.489,79.177,83.358,83.491,81.817,83.835,1
35,125.42,141.78,163.7,185.07,170.56,142.4,148.43,146.1,155.86,177.75,181.8,175.23,154.51,137.79,160.48,167.42,154.29,187.13,189.46,152.61,140.5,144.07,157.15,164.06,153.09,175.53,167.04,142.77,136.01,148.75,177.43,174.11,165.09,149.65,144.5,133.33,121.79,147.41,182.2,187.37,173.84,142.01,130.66,137.99,147.77,157.82,169.93,179.12,165.5,169.73,125.23,130.78,162.82,174.6,165.14,152.25,171.92,171.12,125.13,113.46,139.19,167.77,156.05,138.64,0
36,102.07,104.07,106.14,103.43,102.96,105.37,108.3,106.61,106.11,105.23,104.75,104.6,106.53,104.75,105.09,101.67,98.559,97.038,100.08,101.52,101.4,97.478,96.676,95.899,102.83,104.33,106.88,107.18,105.29,100.47,102.21,103.96,103.36,102.98,102.72,101.66,99.317,98.53,101.6,103.18,105.41,107.97,106.67,106.05,104.63,101.09,101.49,101.95,101.83,102.07,104.37,102.94,99.62,99.188,103.35,104.27,104.14,105.1,107.26,103.76,106.44,105.99,104.72,102.05,1
37,148.14,153.12,174.79,180.81,180.96,182.79,167.51,167.56,146.12,119.62,138.2,166.69,171.23,173.97,184.6,165.7,188.41,141.51,134.63,142.28,135.96,157.84,175.07,180.39,176.78,188.5,186.74,163.38,139.71,146.81,179.84,189.49,160.74,196.58,214.49,174.05,160.18,150.94,174.84,184.88,149.36,149.92,185.7,180.22,165.24,165.52,174.96,183.12,150.72,126.45,131.06,175.13,163.9,179.26,179.75,153.33,177.78,165.78,133.41,135.76,144.28,173.09,175.71,130.28,0
38,79.527,83.321,82.392,80.099,77.89,81.948,80.508,79.815,81.412,84.431,82.662,79.066,78.645,78.904,77.375,79.134,81.128,82.806,81.513,79.033,78.527,80.565,81.388,81.601,74.17,73.118,71.367,72.195,72.726,75.211,74.812,76.342,61.749,61.824,63.6,65.603,68.755,70.439,70.685,72.541,52.113,51.771,51.943,55.072,57.425,55.493,55.583,57.862,58.648,57.108,59.617,61.611,60.182,62.281,62.356,60.791,79.859,79.129,83.592,84.051,85.454,83.585,83.0,85.257,1
39,137.6,139.6,130.47,128.76,129.97,129.06,128.38,130.7,132.05,132.72,131.09,129.22,128.49,127.26,126.62,129.44,131.03,131.74,130.22,127.45,128.74,131.04,133.94,135.24,129.65,126.98,125.06,126.73,128.02,127.22,128.82,129.25,129.2,124.45,123.47,126.14,128.23,129.22,127.78,127.9,110.94,112.88,116.56,117.88,122.19,122.72,126.28,125.27,104.95,108.24,106.32,112.73,116.14,117.11,112.89,110.34,124.08,118.37,111.37,109.06,109.6,110.67,108.93,107.5,1
40,140.66,127.97,133.36,121.82,124.07,134.39,142.58,159.76,140.25,141.2,136.46,134.63,143.45,140.5,124.86,119.18,139.12,140.24,135.91,131.2,142.07,158.2,143.1,117.68,136.09,131.76,131.01,118.47,118.99,140.43,130.53,117.07,166.43,144.59,129.6,125.13,116.87,110.52,104.12,116.04,163.38,156.96,125.19,110.68,101.38,100.27,112.52,129.78,137.74,121.92,105.13,102.89,110.92,106.46,106.53,121.32,142.7,95.158,95.707,121.56,137.14,115.27,93.919,111.25,0
41,122.21,124.63,123.77,123.54,123.14,120.31,123.53,125.39,125.67,126.73,124.43,124.74,125.3,126.48,128.01,129.37,125.31,125.69,123.99,124.15,125.21,128.72,131.94,130.92,124.53,123.49,127.52,127.89,128.74,129.78,131.17,131.85,129.24,128.89,131.06,130.6,132.34,130.22,130.32,129.04,129.04,133.97,130.87,130.56,130.69,132.24,129.03,131.8,126.77,127.36,125.16,125.85,124.37,126.39,126.03,127.6,128.92,128.47,126.69,127.74,127.65,130.94,129.53,128.81,1
42,139.68,144.48,155.91,166.17,146.49,136.92,136.81,182.23,163.33,167.36,169.77,161.52,143.39,143.93,159.28,182.86,176.37,162.91,191.02,174.68,147.8,154.5,182.14,182.71,139.93,158.5,196.15,199.29,152.72,153.19,179.56,187.72,121.5,144.46,189.99,186.3,151.04,137.77,152.94,191.42,132.53,138.38,168.05,184.61,175.72,149.48,150.3,182.88,136.26,140.24,173.46,190.81,180.63,157.98,177.16,190.66,134.19,143.34,169.38,181.55,183.76,167.22,180.95,185.81,0
43,167.93,178.88,160.34,150.24,177.16,187.26,191.81,178.25,158.81,184.96,181.07,154.9,169.23,165.71,186.76,190.19,148.8,153.64,171.83,176.32,170.52,159.43,168.8,184.58,154.92,135.4,139.83,172.39,183.89,178.9,158.55,183.89,161.28,161.63,136.27,149.61,166.45,176.71,165.29,164.47,156.81,176.43,163.83,127.1,138.68,172.8,160.51,128.36,171.63,170.92,158.14,155.89,145.47,146.59,147.05,135.71,162.45,159.98,149.86,164.15,177.91,149.25,151.07,153.88,0
44,107.42,106.08,106.47,108.0,109.52,108.04,108.09,107.09,108.74,108.37,107.77,108.44,111.09,109.88,110.45,111.34,101.89,102.36,102.98,102.83,108.86,108.4,108.82,110.84,90.596,90.82,90.051,90.396,94.533,95.267,99.361,102.45,92.634,88.504,84.984,81.96,82.209,84.269,85.635,87.615,111.49,102.91,95.015,94.365,92.463,91.152,92.182,92.873,105.89,104.13,104.58,105.57,105.18,103.13,101.38,102.32,98.373,101.83,103.46,104.65,104.1,101.13,102.7,99.398,1
45,117.56,108.45,118.49,115.77,104.4,107.71,109.36,118.07,133.27,112.6,113.51,130.88,120.91,113.1,119.5,132.76,146.46,119.12,119.2,141.08,130.08,110.99,112.08,139.38,114.13,138.63,141.62,133.74,114.89,101.73,102.69,129.13,132.91,150.75,141.0,118.89,103.95,116.38,124.49,113.11,109.73,129.86,123.09,90.453,88.019,126.91,141.87,130.43,100.94,95.701,114.5,110.61,106.34,126.85,134.02,130.24,111.73,89.483,113.74,128.96,137.63,126.0,119.41,131.26,0
46,119.21,147.95,167.23,170.91,154.05,127.25,140.91,142.38,124.23,133.13,146.04,151.63,145.47,140.21,142.38,138.1,131.31,125.74,139.35,133.72,119.05,131.52,140.55,137.02,150.14,125.31,110.22,116.03,118.5,145.47,158.13,152.92,135.57,140.15,108.63,96.681,128.14,153.13,162.93,157.36,134.62,155.51,138.78,111.6,120.61,139.2,141.77,137.07,125.26,147.15,153.2,151.5,144.85,112.26,105.13,113.93,118.73,155.03,182.88,181.19,185.98,145.57,108.14,136.53,0
47,71.076,71.75,68.765,71.024,77.213,85.305,90.068,89.123,67.825,67.492,67.273,68.671,69.316,67.476,70.96,78.189,73.408,74.98,74.998,74.901,75.839,73.45,72.19,75.212,75.387,77.022,80.341,79.4,82.084,82.145,83.552,81.947,75.817,74.74,76.78,79.361,82.342,87.38,87.386,86.834,74.671,74.049,76.586,79.157,82.911,88.872,89.508,91.76,74.687,78.126,80.548,81.786,81.486,81.907,84.425,84.38,68.204,74.488,77.846,75.035,76.948,78.059,80.091,84.011,1
48,126.65,121.75,120.68,124.57,125.24,129.5,131.42,132.9,127.29,125.94,125.41,126.14,129.63,132.49,130.91,133.79,129.3,133.1,133.31,132.93,133.31,135.75,136.79,137.26,125.23,127.92,129.61,127.69,130.81,135.84,136.89,136.61,128.88,126.86,130.23,132.77,132.25,130.96,132.31,133.54,125.0,126.78,125.62,125.1,122.56,120.73,123.1,124.55,109.06,111.86,106.32,104.63,105.13,104.99,103.35,101.84,108.22,107.65,109.48,108.45,109.03,110.99,108.77,107.31,1
49,166.94,174.02,172.57,185.09,198.76,147.13,139.12,168.55,181.93,197.38,183.11,191.25,175.84,139.43,136.76,152.92,166.35,198.29,197.72,206.09,186.38,145.54,152.26,166.78,156.38,178.29,173.6,179.32,191.67,192.13,167.88,180.78,148.31,165.05,176.89,202.41,191.23,197.25,166.81,159.08,166.46,157.41,172.22,188.71,186.97,188.26,193.66,163.17,158.09,142.06,168.42,188.72,185.2,184.07,187.13,176.64,148.37,137.21,165.33,186.31,189.62,164.23,162.43,169.89,0
50,94.714,92.404,93.589,93.437,94.578,94.017,91.6,91.406,91.498,91.119,89.064,88.922,88.126,90.232,88.527,89.314,80.863,79.483,76.201,75.453,77.011,75.647,73.162,72.296,74.936,74.082,72.792,71.571,70.533,70.008,68.36,72.142,86.637,85.101,82.598,83.388,86.473,83.636,86.033,87.07,91.318,91.251,88.465,92.455,91.271,92.242,92.818,89.195,84.808,83.261,87.803,87.171,84.159,88.299,89.134,88.931,77.072,75.678,77.902,78.001,79.234,77.762,78.128,79.39,1
